Zeit (s),HR roh,HR gefiltert,RR roh,RR gefiltert
0.000,99.795,99.834,26.628,26.445
0.100,105.826,102.885,24.426,25.306
0.200,101.898,102.736,23.730,24.286
0.300,99.117,101.289,25.304,24.574
0.400,99.199,100.267,25.581,24.953
0.500,95.941,98.200,26.961,25.857
0.600,97.231,97.340,26.469,26.216
0.700,101.311,98.324,25.712,26.142
0.800,103.186,99.714,25.801,26.116
0.900,99.218,99.444,26.015,26.163
1.000,102.002,100.101,24.814,25.819
1.100,102.465,100.734,26.571,26.072
1.200,99.797,100.500,25.035,25.843
1.300,102.057,100.895,27.090,26.191
1.400,99.177,100.508,25.776,26.145
1.500,97.580,99.825,27.360,26.470
1.600,106.137,101.170,25.007,26.217
1.700,99.936,100.956,25.816,26.176
1.800,100.660,100.924,26.165,26.211
1.900,100.155,100.796,25.504,26.111
2.000,102.674,101.172,26.820,26.270
2.100,100.513,101.087,25.331,26.137
2.200,101.168,101.132,27.094,26.328
2.300,104.113,101.695,25.315,26.192
2.400,103.375,102.054,26.427,26.255
2.500,103.277,102.347,26.988,26.398
2.600,103.442,102.628,24.560,26.144
2.700,101.474,102.541,22.822,25.653
2.800,101.203,102.412,25.418,25.605
2.900,102.965,102.581,27.999,25.943
3.000,102.133,102.591,25.408,25.871
3.100,98.713,102.042,27.529,26.109
3.200,nan,102.086,26.750,26.213
3.300,103.153,102.319,27.720,26.443
3.400,102.192,102.344,25.418,26.332
3.500,103.752,102.634,25.878,26.292
3.600,108.926,103.764,26.678,26.363
3.700,106.543,104.353,25.594,26.280
3.800,101.700,104.069,27.341,26.439
3.900,100.303,103.580,26.500,26.471
4.000,106.656,104.161,25.729,26.395
4.100,103.500,104.170,26.208,26.388
4.200,103.564,104.180,26.590,26.431
4.300,104.830,104.383,27.262,26.559
4.400,103.461,104.343,26.996,26.641
4.500,102.777,104.190,25.250,26.484
4.600,105.059,104.405,26.898,26.555
4.700,106.448,104.812,25.889,26.486
4.800,100.946,104.310,25.893,26.422
4.900,102.601,104.107,27.090,26.520
5.000,103.828,104.111,26.575,26.542
5.100,98.632,103.294,26.712,26.579
5.200,102.197,103.111,26.833,26.628
5.300,100.679,102.707,27.310,26.736
5.400,106.438,103.247,25.811,26.637
5.500,nan,103.237,29.122,26.980
5.600,100.971,102.820,27.135,27.034
5.700,102.841,102.791,27.689,27.155
5.800,100.542,102.372,27.329,27.217
5.900,101.033,102.090,24.907,26.953
6.000,103.875,102.317,25.917,26.839
6.100,nan,102.257,26.364,26.791
6.200,98.388,101.482,28.162,26.983
6.300,148.374,109.862,25.934,26.866
6.400,nan,110.366,30.284,27.330
6.500,nan,110.871,29.612,27.669
6.600,104.802,109.895,28.074,27.777
6.700,106.866,109.581,27.928,27.855
6.800,103.173,108.611,26.388,27.720
6.900,104.341,108.029,28.786,27.907
7.000,99.555,106.681,26.196,27.736
7.100,99.491,105.514,28.324,27.854
7.200,104.707,105.381,28.367,27.967
7.300,102.516,104.902,29.459,28.212
7.400,105.576,104.978,29.221,28.404
7.500,100.915,104.297,28.362,28.465
7.600,101.416,103.771,25.978,28.203
7.700,102.985,103.552,27.848,28.202
7.800,101.109,103.065,29.817,28.458
7.900,101.957,102.766,27.325,28.364
8.000,101.157,102.379,27.289,28.268
8.100,106.027,102.805,30.324,28.577
8.200,100.890,102.394,27.554,28.495
8.300,98.657,101.679,28.530,28.544
8.400,105.867,102.174,28.228,28.547
8.500,102.540,102.112,28.714,28.611
8.600,99.231,101.544,27.308,28.482
8.700,99.109,101.019,28.965,28.578
8.800,103.654,101.269,27.884,28.523
8.900,98.405,100.682,28.565,28.559
9.000,106.066,101.365,27.718,28.479
9.100,103.538,101.600,29.251,28.604
9.200,102.640,101.679,28.825,28.663
9.300,104.007,101.972,27.822,28.583
9.400,105.349,102.455,29.942,28.787
9.500,102.057,102.378,27.302,28.625
9.600,105.884,102.911,27.772,28.536
9.700,101.033,102.633,28.422,28.538
9.800,108.597,103.569,28.712,28.576
9.900,105.884,103.991,28.336,28.561
10.000,100.401,103.507,28.462,28.563
10.100,104.129,103.648,25.531,28.178
10.200,nan,103.707,29.115,28.293
10.300,105.631,104.102,28.280,28.289
10.400,103.589,104.081,29.272,28.417
10.500,103.135,103.981,26.728,28.200
10.600,105.868,104.351,29.066,28.307
10.700,105.458,104.606,28.075,28.276
10.800,107.659,105.188,27.535,28.177
10.900,105.171,105.298,26.557,27.956
11.000,108.827,105.976,27.233,27.841
11.100,106.849,106.260,27.957,27.832
11.200,102.488,105.812,28.423,27.886
11.300,105.899,105.939,26.697,27.710
11.400,109.196,106.565,28.041,27.726
11.500,106.896,106.761,28.623,27.819
11.600,105.819,106.758,27.678,27.783
11.700,107.197,106.961,26.493,27.594
11.800,104.615,106.729,27.099,27.500
11.900,104.121,106.431,26.480,27.334
12.000,106.144,106.470,27.153,27.271
12.100,106.612,106.573,27.605,27.275
12.200,106.866,106.700,27.951,27.327
12.300,107.770,106.951,28.576,27.459
12.400,105.423,106.804,nan,27.433
12.500,103.925,106.428,29.347,27.695
12.600,106.686,106.515,28.697,27.835
12.700,107.761,106.759,25.962,27.568
12.800,111.381,107.546,27.524,27.549
12.900,106.730,107.524,26.853,27.439
13.000,114.438,108.707,29.967,27.769
13.100,107.757,108.722,27.510,27.735
13.200,106.069,108.458,30.095,28.054
13.300,107.532,108.438,27.734,28.027
13.400,101.446,107.453,26.746,27.869
13.500,nan,107.504,28.431,27.948
13.600,102.177,106.584,28.931,28.088
13.700,108.023,106.819,26.943,27.951
13.800,105.555,106.600,28.105,27.979
13.900,105.594,106.415,28.615,28.071
14.000,109.174,106.847,29.305,28.247
14.100,109.367,107.262,27.148,28.123
14.200,109.674,107.682,28.209,28.148
14.300,105.300,107.351,25.958,27.874
14.400,108.732,107.599,26.569,27.699
14.500,107.255,107.585,25.921,27.453
14.600,108.048,107.696,28.409,27.554
14.700,106.133,107.491,27.902,27.582
14.800,107.277,107.482,nan,27.565
14.900,107.280,107.473,27.109,27.483
15.000,112.331,108.258,29.048,27.693
15.100,109.704,108.554,28.606,27.818
15.200,106.914,108.379,26.772,27.671
15.300,106.697,108.180,28.482,27.778
15.400,108.165,108.225,28.400,27.864
15.500,nan,108.281,25.735,27.577
15.600,107.121,108.117,29.016,27.760
15.700,110.973,108.651,27.560,27.733
15.800,107.558,108.526,28.378,27.817
15.900,106.528,108.240,26.494,27.643
16.000,107.908,108.215,28.950,27.809
16.100,85.594,104.534,27.936,27.829
16.200,104.539,104.331,26.669,27.678
16.300,106.096,104.414,25.996,27.451
16.400,107.971,104.801,27.545,27.445
16.500,106.517,104.930,28.458,27.562
16.600,105.847,104.950,27.967,27.606
16.700,110.262,105.674,27.373,27.570
16.800,111.212,106.487,28.481,27.682
16.900,nan,106.481,25.053,27.335
17.000,108.767,106.890,25.417,27.062
17.100,111.452,107.713,26.546,26.959
17.200,112.655,108.631,25.837,26.774
17.300,109.546,108.907,26.229,26.656
17.400,109.399,109.118,26.619,26.602
17.500,111.741,109.681,27.336,26.649
17.600,109.184,109.759,26.629,26.603
17.700,111.612,110.208,25.739,26.446
17.800,109.966,110.338,27.781,26.573
17.900,nan,110.534,26.749,26.557
18.000,109.368,110.481,26.481,26.509
18.100,109.878,110.520,26.744,26.503
18.200,114.857,111.407,27.530,26.603
18.300,105.675,110.621,26.794,26.600
18.400,nan,110.767,24.572,26.307
18.500,107.800,110.322,24.363,26.010
18.600,110.349,110.411,25.401,25.875
18.700,106.615,109.825,26.044,25.838
18.800,110.397,109.967,27.877,26.050
18.900,107.127,109.538,26.528,26.071
19.000,107.633,109.242,25.063,25.901
19.100,113.437,109.927,26.777,25.972
19.200,111.270,110.186,23.850,25.654
19.300,110.620,110.311,26.925,25.768
19.400,112.307,110.688,27.082,25.898
19.500,112.181,111.003,25.554,25.819
19.600,112.296,111.299,23.389,25.463
